LOG_TIME,B1,B1_USRS,B2,B2_USRS,B3,B3_USRS,B4,B4_USRS,B5,B5_USRS,B6,B6_USRS,B7,B7_USRS,B8,B8_USRS,B9,B9_USRS,B10,B10_USRS
2024-11-23 22:20:08,Baseball,23859,Gossiping,8638,C_Chat,3684,Golden-Award,2380,Stock,1940,Lifeismoney,1606,LoL,1477,NBA,1300,KoreaStar,963,SportLottery,803
2024-11-23 22:20:14,Baseball,23866,Gossiping,8638,C_Chat,3670,Golden-Award,2396,Stock,1946,Lifeismoney,1605,LoL,1478,NBA,1303,KoreaStar,965,SportLottery,802
2024-11-23 22:20:20,Baseball,23829,Gossiping,8619,C_Chat,3682,Golden-Award,2404,Stock,1954,Lifeismoney,1604,LoL,1480,NBA,1310,KoreaStar,957,SportLottery,799
2024-11-23 22:20:26,Baseball,23811,Gossiping,8641,C_Chat,3681,Golden-Award,2427,Stock,1953,Lifeismoney,1609,LoL,1472,NBA,1319,KoreaStar,953,SportLottery,802
2024-11-23 22:20:33,Baseball,23803,Gossiping,8631,C_Chat,3672,Golden-Award,2432,Stock,1948,Lifeismoney,1600,LoL,1484,NBA,1313,KoreaStar,948,SportLottery,810
2024-11-23 22:20:38,Baseball,23765,Gossiping,8624,C_Chat,3673,Golden-Award,2425,Stock,1943,Lifeismoney,1609,LoL,1488,NBA,1317,KoreaStar,945,SportLottery,807
2024-11-23 22:20:47,Baseball,23763,Gossiping,8623,C_Chat,3682,Golden-Award,2439,Stock,1945,Lifeismoney,1609,LoL,1487,NBA,1320,KoreaStar,956,SportLottery,805
2024-11-23 22:20:54,Baseball,23765,Gossiping,8625,C_Chat,3679,Golden-Award,2437,Stock,1947,Lifeismoney,1608,LoL,1493,NBA,1313,KoreaStar,958,SportLottery,799
2024-11-23 22:21:01,Baseball,23730,Gossiping,8600,C_Chat,3669,Golden-Award,2463,Stock,1952,Lifeismoney,1607,LoL,1483,NBA,1309,KoreaStar,964,SportLottery,801
2024-11-23 22:21:08,Baseball,23706,Gossiping,8617,C_Chat,3663,Golden-Award,2508,Stock,1937,Lifeismoney,1613,LoL,1479,NBA,1312,KoreaStar,948,SportLottery,799
2024-11-23 22:21:16,Baseball,23658,Gossiping,8604,C_Chat,3677,Golden-Award,2518,Stock,1931,Lifeismoney,1613,LoL,1476,NBA,1312,KoreaStar,959,SportLottery,799
2024-11-23 22:21:23,Baseball,23666,Gossiping,8598,C_Chat,3690,Golden-Award,2541,Stock,1926,Lifeismoney,1621,LoL,1483,NBA,1311,KoreaStar,950,SportLottery,794
2024-11-23 22:21:30,Baseball,23666,Gossiping,8586,C_Chat,3679,Golden-Award,2559,Stock,1922,Lifeismoney,1621,LoL,1490,NBA,1302,KoreaStar,959,SportLottery,787
2024-11-23 22:21:38,Baseball,23647,Gossiping,8605,C_Chat,3697,Golden-Award,2579,Stock,1922,Lifeismoney,1608,LoL,1476,NBA,1300,KoreaStar,960,SportLottery,786
2024-11-23 22:21:50,Baseball,23638,Gossiping,8616,C_Chat,3681,Golden-Award,2586,Stock,1913,Lifeismoney,1606,LoL,1483,NBA,1291,KoreaStar,956,SportLottery,781
2024-11-23 22:21:57,Baseball,23671,Gossiping,8620,C_Chat,3677,Golden-Award,2608,Stock,1939,Lifeismoney,1600,LoL,1487,NBA,1303,KoreaStar,945,SportLottery,777
2024-11-23 22:22:03,Baseball,23661,Gossiping,8585,C_Chat,3685,Golden-Award,2608,Stock,1931,Lifeismoney,1609,LoL,1482,NBA,1304,KoreaStar,946,SportLottery,767
2024-11-23 22:22:10,Baseball,23653,Gossiping,8580,C_Chat,3688,Golden-Award,2614,Stock,1938,Lifeismoney,1599,LoL,1482,NBA,1302,KoreaStar,948,SportLottery,762
2024-11-23 22:22:17,Baseball,23667,Gossiping,8595,C_Chat,3703,Golden-Award,2617,Stock,1946,Lifeismoney,1577,LoL,1474,NBA,1328,KoreaStar,946,SportLottery,767
2024-11-23 22:22:24,Baseball,23649,Gossiping,8572,C_Chat,3712,Golden-Award,2642,Stock,1941,Lifeismoney,1580,LoL,1473,NBA,1317,KoreaStar,949,SportLottery,773
2024-11-23 22:22:31,Baseball,23607,Gossiping,8579,C_Chat,3718,Golden-Award,2653,Stock,1938,Lifeismoney,1576,LoL,1471,NBA,1316,KoreaStar,947,SportLottery,777
2024-11-23 22:22:38,Baseball,23567,Gossiping,8583,C_Chat,3715,Golden-Award,2669,Stock,1944,Lifeismoney,1566,LoL,1479,NBA,1317,KoreaStar,951,SportLottery,776
2024-11-23 22:22:44,Baseball,23572,Gossiping,8609,C_Chat,3718,Golden-Award,2678,Stock,1935,Lifeismoney,1573,LoL,1484,NBA,1325,KoreaStar,948,SportLottery,770
2024-11-23 22:22:52,Baseball,23574,Gossiping,8614,C_Chat,3721,Golden-Award,2686,Stock,1931,Lifeismoney,1563,LoL,1490,NBA,1330,KoreaStar,942,SportLottery,771
2024-11-23 22:22:58,Baseball,23567,Gossiping,8618,C_Chat,3711,Golden-Award,2676,Stock,1932,Lifeismoney,1572,LoL,1477,NBA,1329,KoreaStar,935,SportLottery,774
2024-11-23 22:23:05,Baseball,23530,Gossiping,8602,C_Chat,3707,Golden-Award,2683,Stock,1935,Lifeismoney,1588,LoL,1468,NBA,1332,KoreaStar,938,SportLottery,783
2024-11-23 22:23:10,Baseball,23509,Gossiping,8588,C_Chat,3701,Golden-Award,2678,Stock,1943,Lifeismoney,1593,LoL,1474,NBA,1328,KoreaStar,935,SportLottery,774
2024-11-23 22:24:20,Baseball,23417,Gossiping,8590,C_Chat,3697,Golden-Award,2600,Stock,1920,Lifeismoney,1586,LoL,1473,NBA,1310,KoreaStar,935,SportLottery,784
2024-11-23 22:24:22,Baseball,23417,Gossiping,8590,C_Chat,3697,Golden-Award,2600,Stock,1920,Lifeismoney,1586,LoL,1473,NBA,1310,KoreaStar,935,SportLottery,784
